1.77,2.88,-5.24,3.12,2.66,3.5,back-to-forth-swing
1.83,4.58,-5.54,3.42,2.27,4.45,back-to-forth-swing
3.66,2.75,-5.22,1.61,4.46,2.29,back-to-forth-swing
2.43,3.62,-4.32,2.22,2.64,4.07,back-to-forth-swing
2.36,3.21,-4.13,2.69,4.75,2.72,back-to-forth-swing
1.94,3.5,-5.89,1.36,3.97,3.35,back-to-forth-swing
1.3,2.29,-3.43,3.85,3.24,2.16,back-to-forth-swing
4.82,3.37,-3.59,4.89,2.18,1.24,back-to-forth-swing
4.28,2.9,-5.23,2.21,2.63,4.57,back-to-forth-swing
4.1,4.74,-4.03,3.85,4.27,3.7,back-to-forth-swing
1.39,4.56,-4.93,4.41,4.23,3.19,back-to-forth-swing
2.88,1.71,-3.44,2.15,1.17,4.62,back-to-forth-swing
2.53,2.08,-3.01,2.35,3.02,3.7,back-to-forth-swing
3.79,3.7,-5.63,2.25,3.02,3.05,back-to-forth-swing
3.95,2.06,-4.14,4.25,3.82,2.55,back-to-forth-swing
4.64,3.83,-4.95,4.77,3.72,3.41,back-to-forth-swing
2.79,4.83,-5.22,3.04,1.43,3.84,back-to-forth-swing
2.57,2.55,-3.15,1.3,2.86,4.29,back-to-forth-swing
2.19,3.04,-4.14,1.39,1.92,3.75,back-to-forth-swing
3.54,2.85,-5.25,2.86,4.66,5.0,back-to-forth-swing
1.81,1.93,-5.5,1.79,1.26,4.85,back-to-forth-swing
2.37,3.07,-4.68,3.04,3.2,4.39,back-to-forth-swing
2.71,3.24,-3.76,3.71,2.53,4.09,back-to-forth-swing
3.49,1.21,-4.7,1.25,4.7,4.97,back-to-forth-swing
1.82,1.32,-5.23,1.67,2.78,4.14,back-to-forth-swing
4.1,1.79,-5.62,2.07,1.95,4.17,back-to-forth-swing
3.66,4.71,-3.42,3.59,3.15,2.42,back-to-forth-swing
4.47,1.95,-5.5,3.1,2.22,2.98,back-to-forth-swing
3.27,1.29,-4.63,1.2,3.44,1.25,back-to-forth-swing
3.4,2.21,-5.74,4.05,1.94,4.09,back-to-forth-swing
3.16,2.11,-3.21,1.81,3.11,1.15,back-to-forth-swing
3.66,4.59,-3.11,3.43,4.83,3.0,back-to-forth-swing
4.15,1.61,-3.97,4.72,4.04,2.83,back-to-forth-swing
3.86,1.25,-4.04,3.08,1.21,4.66,back-to-forth-swing
2.48,4.13,-5.55,2.34,2.24,1.11,back-to-forth-swing
4.62,4.29,-4.01,2.91,2.5,4.58,back-to-forth-swing
4.83,2.5,-3.14,2.64,4.21,2.26,back-to-forth-swing
2.84,4.67,-3.02,4.32,3.31,3.18,back-to-forth-swing
3.29,3.91,-4.53,1.15,4.5,1.3,back-to-forth-swing
3.79,3.51,4.79,1.65,4.69,1.67,down-to-up-swing
3.44,5.37,1.03,4.48,4.78,3.09,down-to-up-swing
2.51,4.5,1.94,4.59,2.52,2.74,down-to-up-swing
1.04,5.77,1.34,3.63,2.79,1.64,down-to-up-swing
4.53,5.32,2.34,4.87,4.43,3.45,down-to-up-swing
3.18,3.41,4.77,1.87,2.09,3.12,down-to-up-swing
2.2,4.33,4.63,4.74,3.19,1.56,down-to-up-swing
2.65,3.18,1.74,1.84,2.59,3.13,down-to-up-swing
2.01,3.85,2.95,3.55,1.57,2.32,down-to-up-swing
4.64,3.79,1.62,4.73,3.27,2.5,down-to-up-swing
2.2,5.27,2.58,4.24,2.74,4.79,down-to-up-swing
4.88,3.45,2.15,2.47,1.73,2.18,down-to-up-swing
1.23,5.3,3.35,2.09,2.86,1.99,down-to-up-swing
1.73,4.82,4.84,4.06,4.28,2.26,down-to-up-swing
3.48,4.05,2.79,3.98,1.73,5.0,down-to-up-swing
4.04,5.43,1.54,3.95,2.19,4.58,down-to-up-swing
3.84,3.35,4.33,2.15,2.95,2.18,down-to-up-swing
4.68,5.66,4.93,2.55,3.61,1.72,down-to-up-swing
4.96,3.37,3.65,1.36,4.53,3.54,down-to-up-swing
3.75,5.39,2.49,2.53,1.36,3.53,down-to-up-swing
1.29,4.65,1.96,2.82,1.46,3.32,down-to-up-swing
3.52,3.47,2.56,2.89,3.23,1.78,down-to-up-swing
2.32,4.73,1.97,4.46,2.92,2.14,down-to-up-swing
4.7,3.03,4.93,2.47,2.09,2.39,down-to-up-swing
1.29,3.28,3.44,4.05,2.16,2.48,down-to-up-swing
1.75,5.56,1.06,2.97,1.37,3.62,down-to-up-swing
2.92,3.15,4.37,2.79,3.35,4.99,down-to-up-swing
4.81,5.0,1.49,4.81,4.14,2.06,down-to-up-swing
2.25,5.78,2.03,1.25,1.1,3.96,down-to-up-swing
3.81,3.92,3.12,1.47,4.41,1.27,down-to-up-swing
3.65,5.82,1.08,2.31,4.72,4.83,down-to-up-swing
3.49,4.83,2.64,1.73,2.07,3.6,down-to-up-swing
3.71,5.27,2.31,1.56,2.93,2.79,down-to-up-swing
2.46,3.38,2.48,3.42,1.13,3.85,down-to-up-swing
2.98,3.44,4.62,1.5,2.33,1.85,down-to-up-swing
2.06,5.06,2.13,1.14,2.6,3.68,down-to-up-swing
2.08,5.95,2.07,3.67,4.24,3.13,down-to-up-swing
2.89,3.63,3.47,4.21,4.6,1.38,forth-to-back-swing
2.66,1.19,4.56,3.88,1.48,2.78,forth-to-back-swing
4.21,4.82,5.9,4.61,2.61,3.26,forth-to-back-swing
4.31,4.12,4.91,2.92,1.64,2.83,forth-to-back-swing
3.91,3.64,4.27,3.42,1.56,4.18,forth-to-back-swing
1.6,3.94,3.6,3.42,3.71,4.47,forth-to-back-swing
4.25,1.91,3.83,3.0,3.81,1.24,forth-to-back-swing
2.79,1.36,3.06,1.95,1.93,2.84,forth-to-back-swing
2.64,2.1,5.04,3.27,4.85,3.25,forth-to-back-swing
2.19,1.28,4.2,2.07,4.48,1.8,forth-to-back-swing
4.61,3.31,4.46,2.69,2.93,3.51,forth-to-back-swing
2.58,4.52,3.79,3.47,3.05,4.83,forth-to-back-swing
4.41,1.33,3.58,3.48,1.41,4.66,forth-to-back-swing
3.4,3.39,4.98,4.39,1.9,2.54,forth-to-back-swing
4.72,4.11,4.16,1.61,4.35,4.61,forth-to-back-swing
1.1,1.51,4.14,2.26,1.33,2.73,forth-to-back-swing
3.53,2.58,4.41,4.03,1.53,2.02,forth-to-back-swing
1.68,3.86,3.53,3.33,4.59,3.81,forth-to-back-swing
